OBJECTID,NAME,FULLNAME,TYPE,TRACT,COUNTYFIPS,STATEFIPS,STATEABBR,DSITE,DSITENAME,CONTNMPRE,CONTFSTNM,CONTMIDNM,CONTLSTNM,CONTNMSUF,CONTTITLE,CONTORG,CONTDEPT,CONTADDR1,CONTADDR2,CONTCITY,CONTSTATE,CONTZIP,CONTPHONE,CONTFAX,CONTEMAIL,FIPS,TRACTYEAR,PERIODA,PERIODB,PERIODC,URBANRURAL,LINK,PERIODD,Shape__Area,Shape__Length
2051,"Atlanta, GA","Atlanta, GA Renewal Community",Renewal Community,008400,121,13,GA,No,,Mr.,Melvin,,Waldrop,,,Program Director,Atlanta Neighborhood Development Partnership,100 Peachtree Street NW,Suite 700,Atlanta,GA,30303,404-522-2637,404-523-4357,mwaldrop@andpi.org,13121008400,1990,None,None,Atlanta Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=GA&community=Atlanta_RC&info1=Urban+Renewal+Community&ID=09072600001,None,2654232.55078125,7721.78111708709
2052,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,420400,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031420400,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),452655.87109375,2755.27988018811
2053,Central Louisiana,Central Louisiana Renewal Community,Renewal Community,950800,115,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22115950800,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Central_RC&info1=Rural+Renewal+Community&ID=12902500001,None,997594294.011719,195587.324952103
2054,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,008400,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013008400,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,365921.953125,3144.82963019534
2055,Town of Austin,Town of Austin Enterprise Community,Enterprise Community,966800,143,18,IN,No,,Ms.,Charlotte, ,Mathis, , ,Executive Director, ,129 US Highway 31 South,PO Box 309,Austin,IN,47102-1325,812-794-9446,812-794-4706,cmathis@mail.scott1.k12.in.us,18143966800,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/austin.html,None,18346768.8164063,25377.9313605832
2056,"New Haven, CT","New Haven, CT Empowerment Zone",Empowerment Zone,,009,09,CT,Yes,New Haven D-Site,Ms.,Althea, ,Marshall, , ,Acting President/CEO, ,"59 Elm St., 4th Floor",Suite 410,New Haven,CT,06510,203-776-2777,203-776-0537,altheamarshall@snet.net,,,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CT&community=New_Haven&info1=Round+I+EC&info1=Round+II+EZ&ID=09072600001,Empowerment Zone (Round II),3007746.37890625,9149.29954284268
2057,"Norfolk/Portsmouth, VA","Norfolk/Portsmouth, VA Empowerment Zone",Empowerment Zone,211100,740,51,VA,No,,Dr.,Landis, ,Faulcon, , ,Executive Director, ,2359 Corprew Avenue, ,Norfolk,VA,23504,757-314-4228,757-314-4242,lfaulcon@empowerment2010.org,51740211100,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=VA&community=Norfolk_Portsmouth&info1=Round+I+EC&info1=Round+II+EZ&ID=51111600,Empowerment Zone (Round II),580183.55859375,3327.05543474859
2058,"Norfolk/Portsmouth, VA","Norfolk/Portsmouth, VA Empowerment Zone",Empowerment Zone,212100,740,51,VA,No,,Dr.,Landis, ,Faulcon, , ,Executive Director, ,2359 Corprew Avenue, ,Norfolk,VA,23504,757-314-4228,757-314-4242,lfaulcon@empowerment2010.org,51740212100,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=VA&community=Norfolk_Portsmouth&info1=Round+I+EC&info1=Round+II+EZ&ID=51111600,Empowerment Zone (Round II),1737038.02734375,5659.91259377902
2059,"Cincinnati, OH","Cincinnati, OH Empowerment Zone",Empowerment Zone,002500,061,39,OH,No,,Mr.,Harold, ,Cleveland, , ,CEO, ,"3030 Vernon Place, 3rd Floor", ,Cincinnati,OH,45219,513-487-5200,513-487-5202,hcleveland@empowercincy.org,39061002500,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Cincinnati&info1=Round+II+EZ&ID=39106200001,Empowerment Zone (Round II),778600.953125,4113.9791123238
2060,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,520500,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163520500,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),877533.171875,4092.67648592267
2061,Eastern Kentucky,Eastern Kentucky Renewal Community,Renewal Community,980700,025,21,KY,No,,Ms.,Susan,E.,Wilder, , ,State Contact, ,PO Box 637,Old Highway 11/ Action Place,Booneville,KY,41314,606-593-7296,606-593-7781,swilder@owsleycountykentucky.org,21025980700,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=KY&community=Eastern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,281484280.113281,107623.798591605
2062,"Washington, DC","Washington, DC Enterprise Zone",Enterprise Zone,009903,001,11,DC,No,,Ms.,Judy,,Brown,,,Director,Dept. of Housing and Community Development,801 N. Capitol St.,Room 618,Washington,DC,20002,202-442-7200,202-442-7089,judy.brown@dc.gov,11001009903,1990,None,DC Enterprise Zone beginning 1-1-1998,DC Enterprise Zone ending 12-31-09,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=DC&community=Washingtondc&info1=Round+I+EC&ID=11000100001,DC Enterprise Zone,629782.19921875,4231.4526505235
2063,"Pulaski, AR","Pulaski, AR Empowerment Zone",Empowerment Zone,002600,119,05,AR,No,,Ms.,Terri, ,Davis, , , , ,423 Main Street,PO Box 1937,Little Rock,AR,72203,501-375-0121,501-375-1377,thdavis@downtownlr.com,05119002600,1990,Enterprise Community (Round I),Enterprise Community (Round I),"Enterprise Community (Round I) Ending 12-31-04;Empowerment Zone (Round III)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AR&community=Pulaski&info1=Round+III+EZ&ID=06334200001,Empowerment Zone (Round III),7428255.03515625,14448.2605529028
2064,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,008300,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079008300,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,721826.015625,3526.28337682992
2065,"Minneapolis, MN","Minneapolis, MN Empowerment Zone",Empowerment Zone,003300,053,27,MN,No,,Mr.,Kim,W.,Havey, , ,Director, ,105 5th Avenue South,Room 200,Minneapolis,MN,55401,612-673-5016,612-673-5293,kim.havey@ci.minneapolis.mn.us,27053003300,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www.hud.gov/offices/cpd/economicdevelopment/programs/rc/tour/mn/minneapolisEZ/index.cfm,Empowerment Zone (Round II),1258127.4375,4521.54812833084
2066,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,400700,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031400700,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),288614.94140625,2691.59223537598
2067,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,521800,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163521800,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),382132.70703125,2838.99577238238
2068,"Cincinnati, OH","Cincinnati, OH Empowerment Zone",Empowerment Zone,003300,061,39,OH,No,,Mr.,Harold, ,Cleveland, , ,CEO, ,"3030 Vernon Place, 3rd Floor", ,Cincinnati,OH,45219,513-487-5200,513-487-5202,hcleveland@empowercincy.org,39061003300,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Cincinnati&info1=Round+II+EZ&ID=39106200001,Empowerment Zone (Round II),911703.2578125,4625.72579020039
2069,"Norfolk/Portsmouth, VA","Norfolk/Portsmouth, VA Empowerment Zone",Empowerment Zone,003900,710,51,VA,No,,Dr.,Landis, ,Faulcon, , ,Executive Director, ,2359 Corprew Avenue, ,Norfolk,VA,23504,757-314-4228,757-314-4242,lfaulcon@empowerment2010.org,51710003900,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=VA&community=Norfolk_Portsmouth&info1=Round+I+EC&info1=Round+II+EZ&ID=51111600,Empowerment Zone (Round II),5645386.171875,22611.6575191385
2070,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,460100,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031460100,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,5380105.87890625,14432.9922964184
2071,"Miami/Dade County, FL","Miami/Dade County, FL Empowerment Zone",Empowerment Zone,004800,025,12,FL,No,,Mr.,Bryan,K.,Finnie, , ,President/CEO, ,140 W. Flagler Street,Suite 1000,Miami,FL,33130,305-375-3848,305-372-7629,kfinnie@miamidade.gov,12025004800,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Miami_Dade_County&info1=Round+I+EC&info1=Round+II+EZ&ID=129025000,Empowerment Zone (Round II),18642523.7265625,21345.9008529411
2072,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,008500,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013008500,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1599268.65234375,6312.87531444622
2073,West-Central Mississippi,West-Central Mississippi Renewal Community,Renewal Community,000600,151,28,MS,No,,Mr.,Bruce, ,Reynolds, , ,Director of Planning and Management,Central Mississippi Planning and Development District,1170 Lakeland Drive,PO Box 4935,Jackson,MS,39296-4935,601-981-1511,601-981-1515,breynolds@cmpdd.org,28151000600,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MS&community=West_Central_RC&info1=Rural+Renewal+Community&ID=09072600001,None,4764636.32421875,11315.1299460149
2074,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,311100,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031311100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),273768.52734375,2578.23292666781
2075,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,290800,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031290800,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),870836.48046875,4545.35953870192
2076,West-Central Mississippi,West-Central Mississippi Renewal Community,Renewal Community,950300,021,28,MS,No,,Mr.,Bruce, ,Reynolds, , ,Director of Planning and Management,Central Mississippi Planning and Development District,1170 Lakeland Drive,PO Box 4935,Jackson,MS,39296-4935,601-981-1511,601-981-1515,breynolds@cmpdd.org,28021950300,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MS&community=West_Central_RC&info1=Rural+Renewal+Community&ID=09072600001,None,698742452.546875,183564.945580395
2077,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,504300,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163504300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1775964.6796875,5588.01832876299
2078,"San Antonio, TX","San Antonio, TX Empowerment Zone",Empowerment Zone,160100,029,48,TX,No,,Mr.,Ruben, ,Davila, ,Senior Economic Development Specialist,City of San Antonio,Economic Development Department,P.O. Box 839966, ,San Antonio,TX,78283-3966,210-207-8194,210-207-8151,RubenD@sanantonio.gov,48029160100,1990,Enterprise Community (Round I),Enterprise Community (Round I),"Enterprise Community (Round I) Ending 12-31-04;Empowerment Zone (Round III)",Urban,http://www.hud.gov/offices/cpd/economicdevelopment/programs/rc/tour/tx/sanantonioEZ/index.cfm,Empowerment Zone (Round III),3424739.33984375,8996.86779098699
2079,"New Orleans, LA","New Orleans, LA Renewal Community",Renewal Community,007502,071,22,LA,No,,Mr.,Rodney, ,Littleton, , ,Regional Coordinator, ,1340 Poydras Street,9th Floor,New Orleans,LA,70112,504-636-0343,504-636-0262,rlittleton@mayorofno.com,22071007502,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=New_Orleans_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1075396.44921875,4915.39735738822
2080,"San Antonio, TX ","San Antonio, TX Empowerment Zone",Empowerment Zone,170900,029,48,TX,No,,Mr.,Ruben, ,Davila, ,Senior Economic Development Specialist,City of San Antonio,Economic Development Department,P.O. Box 839966, ,San Antonio,TX,78283-3966,210-207-8194,210-207-8151,RubenD@sanantonio.gov,48029170900,1990,Enterprise Community (Round I),Enterprise Community (Round I),"Enterprise Community (Round I) Ending 12-31-04;Empowerment Zone (Round III)",,http://www.hud.gov/offices/cpd/economicdevelopment/programs/rc/tour/tx/sanantonioEZ/index.cfm,Empowerment Zone (Round III),2457200.73828125,6725.13446004189
2081,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,950600,031,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22031950600,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,67299345.0429688,39049.3937264516
2082,"Baltimore, MD","Baltimore, MD Empowerment Zone",Empowerment Zone,070400,510,24,MD,No,,Ms.,Diane, ,Bell, , ,President/CEO, ,3 South Frederick Street,Suite 800,Baltimore,MD,21202,410-783-4400,410-783-0526,Dbell@ebmc.org,24510070400,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MD&community=Baltimore&info1=Round+I+EZ&ID=24006600001,Empowerment Zone (Round I),535919.6015625,3161.58789616941
2083,"Burlington, VT","Burlington, VT Renewal Community",Renewal Community,001000,007,50,VT,No,,Ms.,Margaret, ,Bozik, , ,Assistant Director for Management Planning and Communications,Community and Economic Development Office,"149 Church Street, Rm. 32",City Hall,Burlington,VT,05401,802-865-7171,802-865-7024,mbozik@ci.burlington.vt.us,50007001000,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=VT&community=Burlington_RC&info1=Rural+Renewal+Community&ID=12902500001,None,1402372.0859375,6877.08327813018
2084,Clare County,Clare County Enterprise Community,Enterprise Community,981100,035,26,MI,No,,Mr.,Edward, ,Kerr, , ,Extension Community and Economic Development Agent, ,County Building,P.O. Box 439,Harrison,MI,48625-0439,517-539-7805,517-539-2791, ,26035981100,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/clare.html,None,56945881.78125,34101.3084740686
2085,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,523100,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163523100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),2665937.734375,7973.53823306995
2086,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,360500,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031360500,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),405944.1640625,2786.16768014075
2087,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,380200,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031380200,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),384618.25390625,2867.92658907249
2088,"Tucson, AZ","Tucson, AZ Empowerment Zone",Empowerment Zone,,019,04,AZ,Yes,Science and Technology Employment Center,Mr.,Ethan, ,Orr, , ,Empowerment Zone Administrator,Office of Economic Development,PO Box 27210, ,Tucson,AZ,85726-7210,520-791-5093,520-791-5413,eorr1@ci.tucson.az.us,,,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AZ&community=Tucson&info1=Round+III+EZ&ID=06334200001,Empowerment Zone (Round III),4701753.8046875,9216.73105221936
